id_ciudad;id_estado;ciudad
154;12;Hollywood
155;12;Holmes Beach
156;12;Homestead
157;12;Horseshoe Beach
158;12;Howey-in-the-Hills
159;12;Hypoluxo
160;12;Indialantic
161;12;Indian Creek
162;12;Indian Harbour Beach
163;12;Indian River Shores
164;12;Indian Rocks Beach
165;12;Indian Shores
166;12;Indiantown
167;12;Inglis
168;12;Interlachen
169;12;Inverness
170;12;Islamorada
171;12;Jacksonville
172;12;Jacksonville Beach
173;12;Jacob City
174;12;Jasper
175;12;Jay
176;12;Jennings
177;12;Juno Beach
178;12;Jupiter
179;12;Jupiter Inlet Colony
180;12;Jupiter Island
181;12;Kenneth City
182;12;Key Biscayne
183;12;Key Colony Beach
184;12;Key West
185;12;Keystone Heights
186;12;Kissimmee
187;12;LaBelle
188;12;LaCrosse
189;12;Lady Lake
190;12;Lake Alfred
191;12;Lake Buena Vista
192;12;Lake Butler
193;12;Lake City
194;12;Lake Clarke Shores
195;12;Lake Hamilton
196;12;Lake Helen
197;12;Lake Mary
198;12;Lake Park
199;12;Lake Placid
200;12;Lake Wales
201;12;Lake Worth Beach
202;12;Lakeland
203;12;Lantana
204;12;Largo
205;12;Lauderdale Lakes
206;12;Lauderdale-by-the-Sea
207;12;Lauderhill
208;12;Laurel Hill
209;12;Lawtey
210;12;Layton
211;12;Lazy Lake
212;12;Lee
213;12;Leesburg
214;12;Lighthouse Point
215;12;Live Oak
216;12;Longboat Key
217;12;Longwood
218;12;Loxahatchee Groves
219;12;Lynn Haven
220;12;Macclenny
221;12;Madeira Beach
222;12;Madison
223;12;Maitland
224;12;Malabar
225;12;Malone
226;12;Manalapan
227;12;Mangonia Park
228;12;Marathon
229;12;Marco Island
230;12;Margate
231;12;Marianna
232;12;Marineland
233;12;Mary Esther
234;12;Mascotte
235;12;Mayo
236;12;McIntosh
237;12;Medley
238;12;Melbourne
239;12;Melbourne Beach
240;12;Melbourne Village
241;12;Mexico Beach
242;12;Miami
