,id_categoria,categoria
194,199,tapas bar
195,200,texmex restaurant
196,201,club
197,202,brazilian pastelaria
198,203,grocery delivery service
199,204,market
200,205,courier service
201,206,performing arts group
202,207,butcher shop
203,208,inn
204,209,beer hall
205,210,cider bar
206,211,comedy club
207,212,dart bar
208,213,karaoke bar
209,214,pub
210,215,dog walker
211,216,dog trainer
212,217,pet sitter
213,218,store
214,219,entertainment agency
215,220,marketing agency
216,221,stage lighting equipment supplier
217,222,theater production
218,223,tea store
219,224,cheesesteak restaurant
220,225,hoagie restaurant
221,226,drug store
222,227,board game club
223,228,hot dog stand
224,229,video production service
225,230,banquet hall
226,231,falafel restaurant
227,232,middle eastern restaurant
228,233,weight loss service
229,234,honduran restaurant
230,235,karaoke
231,236,venezuelan restaurant
232,237,antique store
233,238,costume jewelry shop
234,239,interior designer
235,240,nonprofit organization
236,242,mexican grocery store
237,243,coffee wholesaler
238,244,jazz club
239,245,tapas restaurant
240,246,korean restaurant
241,247,soup shop
242,248,internet cafe
243,249,aa shop
244,250,vitamin  supplements store
245,251,canoe  kayak rental service
246,252,recreational vehicle rental agency
247,253,variety store
248,254,fashion accessories store
249,255,food producer
250,256,fitness center
251,257,nutritionist
252,258,craft store
253,259,home goods store
254,260,kitchen supply store
255,261,party store
256,262,dominican restaurant
257,263,marina
258,264,party equipment rental service
259,265,equipment rental agency
260,266,event planner
261,267,wedding planner
262,268,photography class
263,269,childrens party service
264,270,georgian restaurant
265,271,russian restaurant
266,272,uzbeki restaurant
267,273,nicaraguan restaurant
268,274,wedding store
269,275,housing development
270,276,southern italian restaurant
271,277,glutenfree restaurant
272,278,greek restaurant
273,279,lebanese restaurant
274,280,bridal shop
275,281,invitation printing service
276,282,northern italian restaurant
277,283,consultant
278,284,irish restaurant
279,285,german restaurant
280,286,belgian restaurant
281,287,business center
282,288,coffee stand
283,289,creole restaurant
284,290,restaurant or cafe
285,291,food store
286,292,brewpub
287,293,internet service provider
288,294,diner
289,295,turkish restaurant
290,296,art cafe
291,297,game store
292,298,brazilian restaurant
293,299,pakistani restaurant
294,301,afghani restaurant
295,302,beauty supply store
296,303,pet supply store
297,304,catering food and drink supplier
298,305,meat packer
299,306,meat processor
300,307,meat products
301,308,video editing service
302,309,auto repair shop
303,310,truck stop
304,311,hair salon
305,312,beer distributor
306,313,nail salon
307,314,organic shop
308,315,permanent makeup clinic
309,316,tattoo removal service
310,317,tattoo shop
311,318,waxing hair removal service
312,319,cosmetics store
313,320,propane supplier
314,321,motel
315,322,hardware store
316,323,resort hotel
317,324,pool billard club
318,325,greeting card shop
319,326,perfume store
320,327,stationery store
321,328,lodge
322,329,fireworks store
323,330,novelty store
324,331,cannabis store
325,332,herb shop
326,333,herbalist
327,335,smart shop
328,336,wholesaler
